Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene ,Custo de combustível - querosene (póspandemia),Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV
Aviação Comercial,EMBRAER 190 (E190),5,2018,2019,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Globalia,São José dos Campos,Espanha,8310,4537,1,"R$ 145.378,58","R$ 178.331,06","R$ 75.994,23","R$ 148.609,22","R$ 726.892,90","R$ 379.971,15"
Aviação Comercial,EMBRAER 195 (E195),3,2018,2019,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Luxair,São José dos Campos,Luxemburgo,9595,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 113.991,34","R$ 222.913,82","R$ 654.203,61","R$ 341.974,03"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),7,2018,2019,2,17049,28000,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Sirte Oil,São José dos Campos,Líbia,8736,5278,1,"R$ 153.437,11","R$ 188.216,19","R$ 80.206,69","R$ 156.846,82","R$ 1.074.059,78","R$ 561.446,85"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),7,2018,2019,2,17049,28970,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",BA CityFlyer,São José dos Campos,Reino Unido,9614,4800,2,"R$ 230.155,67","R$ 282.324,28","R$ 120.310,04","R$ 235.270,24","R$ 1.611.089,67","R$ 842.170,27"
Aviação Executiva,Phenom 100 (leve),11,2018,2019,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Mauritânia Airlines,São José dos Campos,Mauritânia,6203,2182,2,"R$ 29.000,62","R$ 35.574,10","R$ 15.159,59","R$ 29.645,08","R$ 319.006,85","R$ 166.755,51"
Aviação Executiva,Phenom 300 (leve),51,2018,2019,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",BOC Aviation,São José dos Campos,Singapura,15933,3650,4,"R$ 52.033,00","R$ 63.827,15","R$ 27.199,38","R$ 53.189,29","R$ 2.653.683,06","R$ 1.387.168,59"
Aviação Executiva,Legacy 650 (grande),5,2018,2019,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Augsburg,São José dos Campos,Alemanha,9923,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 105.956,03","R$ 207.200,50","R$ 1.013.480,70","R$ 529.780,14"
Aviação Executiva,Legacy 450 (grande),15,2018,2019,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Aurigny,São José dos Campos,Guernesei,9138,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 105.956,03","R$ 207.200,50","R$ 3.040.442,10","R$ 1.589.340,43"
Aviação Executiva,Legacy 500 (grande),11,2018,2019,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Alitalia,São José dos Campos,Itália,9397,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 105.956,03","R$ 207.200,50","R$ 2.229.657,54","R$ 1.165.516,32"
Aviação Executiva,Praetor 500 (médio),3,2018,2019,2,6660,9260,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Sirte Oil,São José dos Campos,Líbia,8736,5790,1,"R$ 59.940,22","R$ 73.526,68","R$ 31.332,75","R$ 61.272,23","R$ 179.820,67","R$ 93.998,26"
Aviação Executiva,Praetor 600 (médio),13,2018,2019,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",Oman Air,São José dos Campos,Omã,12076,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 105.956,03","R$ 207.200,50","R$ 2.635.049,82","R$ 1.377.428,37"
Aviação Comercial,EMBRAER 175 (E175),32,2019,2020,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Regional,São José dos Campos,França,9108,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 69.851,44","R$ 160.770,86","R$ 6.173.601,01","R$ 2.235.246,19"
Aviação Comercial,EMBRAER 190 (E190),1,2019,2020,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Aurigny,São José dos Campos,Guernesei,9138,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 96.851,21","R$ 222.913,82","R$ 267.496,59","R$ 96.851,21"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),4,2019,2020,2,17049,28000,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Dniproavia,São José dos Campos,Ucrânia,11012,5278,2,"R$ 230.155,67","R$ 282.324,28","R$ 102.219,80","R$ 235.270,24","R$ 1.129.297,14","R$ 408.879,21"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),7,2019,2020,2,17049,28970,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Dniproavia,São José dos Campos,Ucrânia,11012,4800,2,"R$ 230.155,67","R$ 282.324,28","R$ 102.219,80","R$ 235.270,24","R$ 1.976.269,99","R$ 715.538,62"
Aviação Executiva,Phenom 100 (leve),6,2019,2020,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Air Kiribati,São José dos Campos,Quiribáti,12272,2182,5,"R$ 58.001,25","R$ 71.148,19","R$ 25.760,29","R$ 59.290,16","R$ 426.889,17","R$ 154.561,72"
Aviação Executiva,Phenom 300 (leve),50,2019,2020,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Air Canada,São José dos Campos,Canadá,10478,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 13.865,75","R$ 31.913,57","R$ 1.914.814,44","R$ 693.287,71"
Aviação Executiva,Legacy 650 (grande),1,2019,2020,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",KLM,São José dos Campos,Países Baixos,9731,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 90.024,11","R$ 207.200,50","R$ 248.640,60","R$ 90.024,11"
Aviação Executiva,Legacy 500 (grande),1,2019,2020,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",CIAF,São José dos Campos,Egito,9932,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 90.024,11","R$ 207.200,50","R$ 248.640,60","R$ 90.024,11"
Aviação Executiva,Praetor 500 (médio),10,2019,2020,2,6660,9260,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Lufthansa,São José dos Campos,Alemanha,9923,5790,1,"R$ 59.940,22","R$ 73.526,68","R$ 26.621,45","R$ 61.272,23","R$ 735.266,75","R$ 266.214,52"
Aviação Executiva,Praetor 600 (médio),18,2019,2020,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",Aeromexico,São José dos Campos,México,8030,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 90.024,11","R$ 207.200,50","R$ 4.475.530,76","R$ 1.620.434,02"
Aviação Comercial,EMBRAER 175 (E175),27,2020,2021,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",Hainan,São José dos Campos,China,16805,4074,4,"R$ 262.126,40","R$ 321.541,72","R$ 216.091,18","R$ 267.951,43","R$ 8.681.626,43","R$ 5.834.461,88"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),2,2020,2021,2,17049,28000,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",LAM,São José dos Campos,Moçambique,8353,5278,1,"R$ 153.437,11","R$ 188.216,19","R$ 126.490,14","R$ 156.846,82","R$ 376.432,38","R$ 252.980,29"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),19,2020,2021,2,17049,28970,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",Mauritânia Airlines,São José dos Campos,Mauritânia,6203,4800,1,"R$ 153.437,11","R$ 188.216,19","R$ 126.490,14","R$ 156.846,82","R$ 3.576.107,60","R$ 2.403.312,75"
Aviação Executiva,Phenom 100 (leve),6,2020,2021,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",Helvetic,São José dos Campos,Suíça,9484,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 39.845,78","R$ 49.408,47","R$ 355.740,97","R$ 239.074,69"
Aviação Executiva,Phenom 300 (leve),56,2020,2021,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",Arkia,São José dos Campos,Israel,10490,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 25.736,91","R$ 31.913,57","R$ 2.144.592,18","R$ 1.441.266,96"
Aviação Executiva,Praetor 500 (médio),14,2020,2021,2,6660,9260,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",Porter,São José dos Campos,Canadá,10478,5790,1,"R$ 59.940,22","R$ 73.526,68","R$ 49.413,39","R$ 61.272,23","R$ 1.029.373,45","R$ 691.787,44"
Aviação Executiva,Praetor 600 (médio),17,2020,2021,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",BA CityFlyer,São José dos Campos,Reino Unido,9614,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 167.098,19","R$ 207.200,50","R$ 4.226.890,17","R$ 2.840.669,28"
Aviação Comercial,EMBRAER 175 (E175),35,2021,2022,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",Mauritânia Airlines,São José dos Campos,Mauritânia,6203,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 103.811,38","R$ 107.180,57","R$ 4.501.584,07","R$ 3.633.398,13"
Aviação Comercial,EMBRAER 190 (E190),3,2021,2022,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",Luxair,São José dos Campos,Luxemburgo,9595,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 215.906,58","R$ 222.913,82","R$ 802.489,76","R$ 647.719,73"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),1,2021,2022,2,17049,28000,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",Dniproavia,São José dos Campos,Ucrânia,11012,5278,2,"R$ 230.155,67","R$ 282.324,28","R$ 227.874,57","R$ 235.270,24","R$ 282.324,28","R$ 227.874,57"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),18,2021,2022,2,17049,28970,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",Taca,São José dos Campos,El Salvador,6227,4800,1,"R$ 153.437,11","R$ 188.216,19","R$ 151.916,38","R$ 156.846,82","R$ 3.387.891,41","R$ 2.734.494,82"
Aviação Executiva,Phenom 100 (leve),7,2021,2022,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",Sirte Oil,São José dos Campos,Líbia,8736,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 47.855,32","R$ 49.408,47","R$ 415.031,13","R$ 334.987,27"
Aviação Executiva,Phenom 300 (leve),59,2021,2022,2,2313,10800,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",LAM,São José dos Campos,Moçambique,8353,3650,2,"R$ 31.219,80","R$ 38.296,29","R$ 30.910,38","R$ 31.913,57","R$ 2.259.481,04","R$ 1.823.712,29"
Aviação Executiva,Praetor 500 (médio),15,2021,2022,2,6660,9260,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",NAC / Aldus,São José dos Campos,Irlanda,9254,5790,1,"R$ 59.940,22","R$ 73.526,68","R$ 59.346,15","R$ 61.272,23","R$ 1.102.900,13","R$ 890.192,25"
Aviação Executiva,Praetor 600 (médio),21,2021,2022,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",US Airways,São José dos Campos,EUA,8490,7223,1,"R$ 202.696,14","R$ 248.640,60","R$ 200.687,20","R$ 207.200,50","R$ 5.221.452,56","R$ 4.214.431,11"
